Nested Sampling Global Log-Evidence           :   -0.307835221837672179E+04  +/-    0.976075873081067164E-01
Nested Importance Sampling Global Log-Evidence:   -0.307774884332749980E+04  +/-    0.222460415899469494E+00

Dim No.       Mean        Sigma
   1    0.174315627162711948E+02    0.623734539016312706E+00
   2    0.353176528614054419E+02    0.956352475959975190E+00
   3    0.999692907512815623E+02    0.250632016149435177E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.170000000000000000E+02
   2    0.350000000000000000E+02
   3    0.101000000000000000E+03

MAP Parameters
Dim No.        Parameter
   1    0.180000000000000000E+02
   2    0.340000000000000000E+02
   3    0.980000000000000000E+02
